characters,error_rate_pct,errors_occurred,errors_detected,detection_rate_pct,successfully_corrected,correction_rate_pct,overhead_pct
8,0,0,0,100.0,200,100.0,40.625
8,0.5,81,81,100.0,198,99.0,40.625
8,1,114,114,100.0,189,94.5,40.625
8,2,168,168,100.0,162,81.0,40.625
8,5,198,198,100.0,71,35.5,40.625
8,10,200,200,100.0,3,1.5,40.625
8,15,200,200,100.0,1,0.5,40.625
8,20,200,200,100.0,0,0.0,40.625
8,25,200,200,100.0,0,0.0,40.625
32,0,0,0,100.0,200,100.0,40.625
32,0.5,170,170,100.0,190,95.0,40.625
32,1,196,196,100.0,158,79.0,40.625
32,2,200,200,100.0,94,47.0,40.625
32,5,200,200,100.0,2,1.0,40.625
32,10,200,200,100.0,0,0.0,40.625
32,15,200,200,100.0,0,0.0,40.625
32,20,200,200,100.0,0,0.0,40.625
32,25,200,200,100.0,0,0.0,40.625
128,0,0,0,100.0,200,100.0,37.695
128,0.5,200,200,100.0,164,82.0,37.695
128,1,200,200,100.0,84,42.0,37.695
128,2,200,200,100.0,4,2.0,37.695
128,5,200,200,100.0,0,0.0,37.695
128,10,200,200,100.0,0,0.0,37.695
128,15,200,200,100.0,0,0.0,37.695
128,20,200,200,100.0,0,0.0,37.695
128,25,200,200,100.0,0,0.0,37.695
512,0,0,0,100.0,200,100.0,36.597
512,0.5,200,200,100.0,88,44.0,36.597
512,1,200,200,100.0,4,2.0,36.597
512,2,200,200,100.0,0,0.0,36.597
512,5,200,200,100.0,0,0.0,36.597
512,10,200,200,100.0,0,0.0,36.597
512,15,200,200,100.0,0,0.0,36.597
512,20,200,200,100.0,0,0.0,36.597
512,25,200,200,100.0,0,0.0,36.597
